outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),17.072,0.363,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.129,0.283,0.6486,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.653,0.407,0.1089,
Verbal Fluency,wave_factorWave 8,0.049,0.196,0.8017,
Verbal Fluency,wave_factorWave 9,-0.036,0.204,0.8585,
Verbal Fluency,wave_factorWave 10,-0.924,0.233,1e-4,***
Verbal Fluency,wave_factorWave 11,-1.438,0.242,0,***
Verbal Fluency,age_c,-0.257,0.012,0,***
Verbal Fluency,sex_factorFemale,0.281,0.218,0.1978,
Verbal Fluency,education_3catIntermediate (A/O level),2.058,0.281,0,***
Verbal Fluency,education_3catHigher (degree/equiv),3.149,0.281,0,***
Verbal Fluency,wealth_quintileQ2,0.84,0.361,0.0201,*
Verbal Fluency,wealth_quintileQ3,2.147,0.359,0,***
Verbal Fluency,wealth_quintileQ4,2.68,0.362,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),3.153,0.368,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,0.033,0.291,0.9108,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,-0.164,0.422,0.6968,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,-0.518,0.304,0.0888,.
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,-0.113,0.448,0.8008,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,-0.679,0.351,0.0529,.
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 10,0.46,0.565,0.415,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 11,-0.068,0.367,0.8521,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 11,-0.993,0.599,0.0975,.
Delayed Recall,(Intercept),3.101,0.103,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.184,0.08,0.0221,*
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.288,0.116,0.0129,*
Delayed Recall,wave_factorWave 8,-0.178,0.055,0.0012,**
Delayed Recall,wave_factorWave 9,-0.366,0.058,0,***
Delayed Recall,wave_factorWave 10,-0.681,0.066,0,***
Delayed Recall,wave_factorWave 11,-0.698,0.069,0,***
Delayed Recall,age_c,-0.088,0.004,0,***
Delayed Recall,sex_factorFemale,0.515,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.646,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.946,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.422,0.103,0,***
Delayed Recall,wealth_quintileQ3,0.659,0.102,0,***
Delayed Recall,wealth_quintileQ4,0.843,0.103,0,***
Delayed Recall,wealth_quintileQ5 (Highest),1.048,0.105,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,-0.004,0.082,0.9563,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,-0.024,0.119,0.8406,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,-0.021,0.086,0.8058,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,-0.027,0.126,0.8279,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,-0.054,0.1,0.5921,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 10,-0.166,0.161,0.3022,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 11,-0.04,0.105,0.7041,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 11,-0.28,0.174,0.10780000000000001,
Immediate Recall,(Intercept),4.686,0.084,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.153,0.068,0.0242,*
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.276,0.098,0.005,**
Immediate Recall,wave_factorWave 8,-0.122,0.052,0.0198,*
Immediate Recall,wave_factorWave 9,-0.242,0.055,0,***
Immediate Recall,wave_factorWave 10,-0.634,0.063,0,***
Immediate Recall,wave_factorWave 11,-0.547,0.065,0,***
Immediate Recall,age_c,-0.067,0.003,0,***
Immediate Recall,sex_factorFemale,0.398,0.049,0,***
Immediate Recall,education_3catIntermediate (A/O level),0.548,0.064,0,***
Immediate Recall,education_3catHigher (degree/equiv),0.778,0.064,0,***
Immediate Recall,wealth_quintileQ2,0.386,0.082,0,***
Immediate Recall,wealth_quintileQ3,0.439,0.082,0,***
Immediate Recall,wealth_quintileQ4,0.729,0.082,0,***
Immediate Recall,wealth_quintileQ5 (Highest),0.891,0.083,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,0.058,0.078,0.4544,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,0.069,0.113,0.542,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,-0.022,0.081,0.7845,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,-0.022,0.12,0.8541,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,0.011,0.095,0.9117,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 10,0.041,0.152,0.7868,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 11,-0.054,0.099,0.5842,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 11,-0.205,0.164,0.2128,
Serial 7s,(Intercept),3.452,0.087,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-0.161,0.072,0.0246,*
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-0.268,0.105,0.0102,*
Serial 7s,wave_factorWave 8,-0.04,0.058,0.491,
Serial 7s,wave_factorWave 9,-0.053,0.06,0.3786,
Serial 7s,wave_factorWave 10,-0.122,0.068,0.0733,.
Serial 7s,wave_factorWave 11,-0.266,0.071,2e-4,***
Serial 7s,age_c,-0.009,0.003,0.0033,**
Serial 7s,sex_factorFemale,-0.295,0.049,0,***
Serial 7s,education_3catIntermediate (A/O level),0.328,0.064,0,***
Serial 7s,education_3catHigher (degree/equiv),0.447,0.064,0,***
Serial 7s,wealth_quintileQ2,0.142,0.085,0.0928,.
Serial 7s,wealth_quintileQ3,0.27,0.084,0.0013,**
Serial 7s,wealth_quintileQ4,0.415,0.084,0,***
Serial 7s,wealth_quintileQ5 (Highest),0.514,0.084,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,-0.021,0.087,0.8055,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,0.169,0.127,0.1813,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,0.011,0.09,0.9024,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,0.164,0.134,0.2224,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,0.075,0.103,0.4669,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 10,0.315,0.168,0.0608,.
Serial 7s,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 11,0.188,0.108,0.0836,.
Serial 7s,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 11,0.238,0.18,0.1851,
