outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),21.261,0.209,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.546,0.262,0.0375,*
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-1.76,0.376,0,***
Verbal Fluency,time,0.161,0.075,0.0328,*
Verbal Fluency,time_sq,-0.042,0.01,0,***
Verbal Fluency,age_c,-0.254,0.011,0,***
Verbal Fluency,sex_factorFemale,-0.504,0.21,0.0164,*
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.198,0.115,0.084,.
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,0.04,0.171,0.8157,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time_sq,0.017,0.015,0.2327,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.012,0.022,0.588,
Delayed Recall,(Intercept),4.37,0.061,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.302,0.078,1e-4,***
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.562,0.111,0,***
Delayed Recall,time,-0.093,0.021,0,***
Delayed Recall,time_sq,0.002,0.003,0.4664,
Delayed Recall,age_c,-0.088,0.003,0,***
Delayed Recall,sex_factorFemale,0.312,0.06,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,0.012,0.032,0.7213,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,0.027,0.048,0.5712,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,-0.003,0.004,0.4552,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.006,0.006,0.3412,
Immediate Recall,(Intercept),5.737,0.051,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.216,0.066,0.0012,**
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.45,0.095,0,***
Immediate Recall,time,-0.055,0.02,0.0069,**
Immediate Recall,time_sq,-0.001,0.003,0.7979,
Immediate Recall,age_c,-0.069,0.003,0,***
Immediate Recall,sex_factorFemale,0.226,0.048,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,0.008,0.031,0.7883,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,0.009,0.046,0.8437,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,-0.003,0.004,0.4144,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.004,0.006,0.4958,
Serial 7s,(Intercept),4.046,0.05,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-0.158,0.065,0.0152,*
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-0.386,0.094,0,***
Serial 7s,time,0.031,0.023,0.1719,
Serial 7s,time_sq,-0.006,0.003,0.0295,*
Serial 7s,age_c,-0.013,0.003,0,***
Serial 7s,sex_factorFemale,-0.4,0.046,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,-0.043,0.034,0.2105,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,0.05,0.052,0.3384,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time_sq,0.007,0.004,0.1309,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.005,0.007,0.4627,
