outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),18.572,0.377,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.019,0.252,0.9413,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.389,0.368,0.2906,
Verbal Fluency,time,-0.197,0.03,0,***
Verbal Fluency,age_c,-0.248,0.012,0,***
Verbal Fluency,sex_factorFemale,0.424,0.216,0.0501,.
Verbal Fluency,education_3catIntermediate (A/O level),1.927,0.278,0,***
Verbal Fluency,education_3catHigher (degree/equiv),2.97,0.277,0,***
Verbal Fluency,wealth_quintileQ2,0.412,0.359,0.2519,
Verbal Fluency,wealth_quintileQ3,1.586,0.361,0,***
Verbal Fluency,wealth_quintileQ4,2.049,0.364,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),2.44,0.375,0,***
Verbal Fluency,cesd_total,-0.444,0.058,0,***
Verbal Fluency,has_diabetes,-0.317,0.704,0.6529,
Verbal Fluency,has_cvd,-0.245,0.496,0.6204,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.064,0.045,0.1569,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,-0.028,0.072,0.7002,
Delayed Recall,(Intercept),3.405,0.11,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.135,0.075,0.0732,.
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.185,0.11,0.0916,.
Delayed Recall,time,-0.1,0.008,0,***
Delayed Recall,age_c,-0.087,0.004,0,***
Delayed Recall,sex_factorFemale,0.552,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.619,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.895,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.302,0.104,0.0037,**
Delayed Recall,wealth_quintileQ3,0.523,0.104,0,***
Delayed Recall,wealth_quintileQ4,0.696,0.105,0,***
Delayed Recall,wealth_quintileQ5 (Highest),0.879,0.108,0,***
Delayed Recall,cesd_total,-0.112,0.017,0,***
Delayed Recall,has_diabetes,0.02,0.203,0.9223,
Delayed Recall,has_cvd,-0.158,0.144,0.2707,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.007,0.013,0.5679,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,-0.029,0.02,0.1515,
Immediate Recall,(Intercept),4.92,0.088,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.101,0.063,0.1058,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.168,0.091,0.0667,.
Immediate Recall,time,-0.084,0.008,0,***
Immediate Recall,age_c,-0.067,0.003,0,***
Immediate Recall,sex_factorFemale,0.421,0.049,0,***
Immediate Recall,education_3catIntermediate (A/O level),0.531,0.064,0,***
Immediate Recall,education_3catHigher (degree/equiv),0.74,0.063,0,***
Immediate Recall,wealth_quintileQ2,0.31,0.083,2e-4,***
Immediate Recall,wealth_quintileQ3,0.362,0.083,0,***
Immediate Recall,wealth_quintileQ4,0.63,0.083,0,***
Immediate Recall,wealth_quintileQ5 (Highest),0.767,0.086,0,***
Immediate Recall,cesd_total,-0.08,0.013,0,***
Immediate Recall,has_diabetes,-0.057,0.161,0.7239,
Immediate Recall,has_cvd,-0.083,0.115,0.468,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.006,0.012,0.5882,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,-0.013,0.018,0.4709,
Serial 7s,(Intercept),3.543,0.091,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-0.189,0.064,0.0031,**
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-0.206,0.094,0.029,*
Serial 7s,time,-0.027,0.008,6e-4,***
Serial 7s,age_c,-0.009,0.003,0.0033,**
Serial 7s,sex_factorFemale,-0.292,0.05,0,***
Serial 7s,education_3catIntermediate (A/O level),0.326,0.065,0,***
Serial 7s,education_3catHigher (degree/equiv),0.439,0.065,0,***
Serial 7s,wealth_quintileQ2,0.12,0.086,0.1626,
Serial 7s,wealth_quintileQ3,0.233,0.086,0.0071,**
Serial 7s,wealth_quintileQ4,0.381,0.086,0,***
Serial 7s,wealth_quintileQ5 (Highest),0.461,0.088,0,***
Serial 7s,cesd_total,-0.03,0.014,0.0339,*
Serial 7s,has_diabetes,-0.252,0.169,0.136,
Serial 7s,has_cvd,0.022,0.119,0.8517,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,0.019,0.012,0.1187,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,0.033,0.02,0.0882,.
