outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),17.33,0.352,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.173,0.255,0.497,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.723,0.372,0.052,.
Verbal Fluency,time,-0.18,0.03,0,***
Verbal Fluency,age_c,-0.248,0.012,0,***
Verbal Fluency,sex_factorFemale,0.297,0.217,0.1711,
Verbal Fluency,education_3catIntermediate (A/O level),2.061,0.28,0,***
Verbal Fluency,education_3catHigher (degree/equiv),3.177,0.28,0,***
Verbal Fluency,wealth_quintileQ2,0.833,0.359,0.0204,*
Verbal Fluency,wealth_quintileQ3,2.084,0.357,0,***
Verbal Fluency,wealth_quintileQ4,2.653,0.36,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),3.145,0.367,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.062,0.045,0.1738,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,-0.024,0.072,0.7361,
Delayed Recall,(Intercept),3.107,0.102,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.181,0.075,0.0167,*
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.263,0.11,0.0167,*
Delayed Recall,time,-0.096,0.008,0,***
Delayed Recall,age_c,-0.087,0.004,0,***
Delayed Recall,sex_factorFemale,0.514,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.641,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.946,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.417,0.103,1e-4,***
Delayed Recall,wealth_quintileQ3,0.655,0.102,0,***
Delayed Recall,wealth_quintileQ4,0.84,0.103,0,***
Delayed Recall,wealth_quintileQ5 (Highest),1.048,0.105,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.006,0.013,0.6114,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,-0.029,0.02,0.1479,
Immediate Recall,(Intercept),4.707,0.082,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.132,0.063,0.0373,*
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.242,0.092,0.0089,**
Immediate Recall,time,-0.079,0.008,0,***
Immediate Recall,age_c,-0.067,0.003,0,***
Immediate Recall,sex_factorFemale,0.396,0.049,0,***
Immediate Recall,education_3catIntermediate (A/O level),0.545,0.064,0,***
Immediate Recall,education_3catHigher (degree/equiv),0.776,0.063,0,***
Immediate Recall,wealth_quintileQ2,0.381,0.082,0,***
Immediate Recall,wealth_quintileQ3,0.44,0.081,0,***
Immediate Recall,wealth_quintileQ4,0.725,0.082,0,***
Immediate Recall,wealth_quintileQ5 (Highest),0.883,0.083,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.005,0.012,0.6617,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,-0.01,0.019,0.5722,
Serial 7s,(Intercept),3.471,0.084,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-0.195,0.063,0.0021,**
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-0.236,0.093,0.0115,*
Serial 7s,time,-0.029,0.008,3e-4,***
Serial 7s,age_c,-0.008,0.003,0.0036,**
Serial 7s,sex_factorFemale,-0.296,0.049,0,***
Serial 7s,education_3catIntermediate (A/O level),0.328,0.064,0,***
Serial 7s,education_3catHigher (degree/equiv),0.447,0.064,0,***
Serial 7s,wealth_quintileQ2,0.144,0.084,0.0874,.
Serial 7s,wealth_quintileQ3,0.27,0.084,0.0013,**
Serial 7s,wealth_quintileQ4,0.414,0.084,0,***
Serial 7s,wealth_quintileQ5 (Highest),0.513,0.084,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,0.02,0.012,0.0894,.
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,0.037,0.019,0.0555,.
