outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),21.505,0.201,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.659,0.25,0.0083,**
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-1.743,0.36,0,***
Verbal Fluency,time,-0.144,0.028,0,***
Verbal Fluency,age_c,-0.255,0.011,0,***
Verbal Fluency,sex_factorFemale,-0.502,0.21,0.017,*
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.065,0.042,0.1237,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,-0.024,0.066,0.7154,
Delayed Recall,(Intercept),4.359,0.059,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.284,0.074,1e-4,***
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.53,0.107,0,***
Delayed Recall,time,-0.079,0.008,0,***
Delayed Recall,age_c,-0.088,0.003,0,***
Delayed Recall,sex_factorFemale,0.312,0.06,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.011,0.012,0.3537,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,-0.015,0.019,0.4055,
Immediate Recall,(Intercept),1.005,0.002,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.002,0.002,0.4569,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),0.002,0.003,0.6033,
Immediate Recall,time,-0,0,0.8486,
Immediate Recall,age_c,0,0,0.1723,
Immediate Recall,sex_factorFemale,-0.002,0.001,0.0749,.
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,0.001,0.001,0.3169,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,0.002,0.001,0.0578,.
Serial 7s,(Intercept),394.632,1.599,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-2.778,2.137,0.1937,
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-5.461,3.147,0.0827,.
Serial 7s,time,-0.534,0.41,0.1931,
Serial 7s,age_c,-0.124,0.079,0.1129,
Serial 7s,sex_factorFemale,-0.79,1.415,0.5765,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,0.752,0.632,0.2336,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,0.226,0.985,0.8184,
